,name,header,beds,bedrooms,date_range,price,rating
1676,Luxury Apartment Cordoba,Apartment in Riyadh,Luxury Apartment Cordoba,"3 beds,  · 2 bedrooms",Nov 12 – 17,$146,New
1677,"Apartment in North Riyadh, self entry",Condo in Riyadh,"Apartment in North Riyadh, self entry","3 beds,  · 2 bedrooms",Nov 23 – 28,$128,4.89 (18)
1678,Luxury Hotel Apartment B3 in Nada Al Nada Self check-in,Apartment in Riyadh,Luxury Hotel Apartment B3 in Nada Al Nada Self check-in,"3 beds,  · 2 bedrooms",Nov 12 – 17,$158,4.93 (45)
1679,comfy apartment fits 9 personals,Apartment in Jeddah,comfy apartment fits 9 personals,"8 beds,  · 3 bedrooms",Nov 25 – 30,$113,New
1680,Private suite 26,Apartment in Jeddah,Private suite 26,"3 beds,  · 2 bedrooms",Nov 12 – 17,$80,New
1681,Comfortable place to spend your family vacation | comfyapartment8,Condo in Jeddah,Comfortable place to spend your family vacation | comfyapartment8,Verified fast wifi,Nov 12 – 17,$104,4.85 (34)
1682,Cordoba Apartment 2/A,Apartment in Riyadh,Cordoba Apartment 2/A,"3 beds,  · 2 bedrooms",Nov 21 – 26,$149,5.0 (15)
1683,Majdia Residence Al Majdiah Residence,Apartment in Riyadh,Majdia Residence Al Majdiah Residence,"5 beds,  · 4 bedrooms",Nov 23 – 28,$447,5.0 (33)
1684,Featured bunk villa and pool,Home in Riyadh,Featured bunk villa and pool,"4 beds,  · 2 bedrooms",Nov 25 – 30,$139,5.0 (3)
1685,Peaceful Makkah Retreat,Apartment in Makkah,Peaceful Makkah Retreat,"5 beds,  · 3 bedrooms",Nov 12 – 17,,New
1686,Spacious Apartment for a family,Apartment in Jeddah,Spacious Apartment for a family,"5 beds,  · 3 bedrooms",Nov 19 – 24,$111,5.0 (4)
1687,2 Bedroom Apartment with Self check in,Apartment in Riyadh,2 Bedroom Apartment with Self check in,"3 beds,  · 2 bedrooms",Nov 26 – Dec 1,$91,5.0 (11)
1688,Cozy Apartment,Apartment in Riyadh,Cozy Apartment,Verified fast wifi,Nov 12 – 17,,5.0 (18)
1689,Three Bedroom Apartment - Luxury Apartment 3 Smart Entry,Apartment in Riyadh,Three Bedroom Apartment - Luxury Apartment 3 Smart Entry,"3 beds,  · 3 bedrooms",Nov 12 – 17,,4.67 (6)
1690,B2-Cozy 2 bedroom apartment,Apartment in Riyadh,B2-Cozy 2 bedroom apartment,"3 beds,  · 2 bedrooms",Nov 12 – 17,$133,4.81 (16)
1691,Apartment Hotel Groves | Three Bedrooms and Self Entry,Condo in Riyadh,Apartment Hotel Groves | Three Bedrooms and Self Entry,Dedicated workspace,Nov 25 – 30,$173,5.0 (10)
1692,Apartment room and lounge with private entrance,Apartment in Riyadh,Apartment room and lounge with private entrance,Dedicated workspace,Nov 12 – 17,,4.86 (7)
1693,"T10, 2 beds apt in Great Location شقة غرفتين جميلة",Apartment in Jeddah,"T10, 2 beds apt in Great Location شقة غرفتين جميلة","2 beds,  · 2 bedrooms",Nov 12 – 17,$60,4.68 (69)
1694,Luxury 3 Bedroom Apartment - Self Entry,Apartment in Riyadh,Luxury 3 Bedroom Apartment - Self Entry,"3 beds,  · 3 bedrooms",Nov 12 – 17,,5.0 (46)
1695,Luxury Apartment Cordoba,Apartment in Riyadh,Luxury Apartment Cordoba,"3 beds,  · 2 bedrooms",Nov 12 – 17,$146,New
1696,"Apartment in North Riyadh, self entry",Condo in Riyadh,"Apartment in North Riyadh, self entry","3 beds,  · 2 bedrooms",Nov 23 – 28,$128,4.89 (18)
1697,comfy apartment fits 9 personals,Apartment in Jeddah,comfy apartment fits 9 personals,"8 beds,  · 3 bedrooms",Nov 25 – 30,$113,New
1698,Private suite 26,Apartment in Jeddah,Private suite 26,"3 beds,  · 2 bedrooms",Nov 12 – 17,$80,New
1699,Comfortable place to spend your family vacation | comfyapartment8,Condo in Jeddah,Comfortable place to spend your family vacation | comfyapartment8,Verified fast wifi,Nov 12 – 17,$104,4.85 (34)
1700,Cordoba Apartment 2/A,Apartment in Riyadh,Cordoba Apartment 2/A,"3 beds,  · 2 bedrooms",Nov 21 – 26,$149,5.0 (15)
1701,Majdia Residence Al Majdiah Residence,Apartment in Riyadh,Majdia Residence Al Majdiah Residence,"5 beds,  · 4 bedrooms",Nov 23 – 28,$447,5.0 (33)
1702,Featured bunk villa and pool,Home in Riyadh,Featured bunk villa and pool,"4 beds,  · 2 bedrooms",Nov 25 – 30,$139,5.0 (3)
1703,Peaceful Makkah Retreat,Apartment in Makkah,Peaceful Makkah Retreat,"5 beds,  · 3 bedrooms",Nov 12 – 17,,New
1704,Spacious Apartment for a family,Apartment in Jeddah,Spacious Apartment for a family,"5 beds,  · 3 bedrooms",Nov 19 – 24,$111,5.0 (4)
1705,Joyful Apartment,Apartment in Riyadh,Joyful Apartment,Verified fast wifi,Nov 12 – 17,$178,5.0 (25)
1706,N204 lovely unit with great space,Apartment in Jeddah,N204 lovely unit with great space,"5 beds,  · 4 bedrooms",Nov 20 – 25,$173,4.79 (33)
1707,2 Bedroom Apartment with Self check in,Apartment in Riyadh,2 Bedroom Apartment with Self check in,"3 beds,  · 2 bedrooms",Nov 26 – Dec 1,$91,5.0 (11)
1708,Cozy Apartment,Apartment in Riyadh,Cozy Apartment,Verified fast wifi,Nov 12 – 17,,5.0 (18)
1709,Three Bedroom Apartment - Luxury Apartment 3 Smart Entry,Apartment in Riyadh,Three Bedroom Apartment - Luxury Apartment 3 Smart Entry,"3 beds,  · 3 bedrooms",Nov 12 – 17,,4.67 (6)
1710,Spacious and plush bedrooms apartment,Apartment in Jeddah,Spacious and plush bedrooms apartment,"3 beds,  · 2 bedrooms",Nov 12 – 17,,4.75 (8)
1711,"T10, 2 beds apt in Great Location شقة غرفتين جميلة",Apartment in Jeddah,"T10, 2 beds apt in Great Location شقة غرفتين جميلة","2 beds,  · 2 bedrooms",Nov 12 – 17,$60,4.68 (69)
1712,Luxury 3 Bedroom Apartment - Self Entry,Apartment in Riyadh,Luxury 3 Bedroom Apartment - Self Entry,"3 beds,  · 3 bedrooms",Nov 12 – 17,,5.0 (46)
1713,Luxury Apartment Cordoba,Apartment in Riyadh,Luxury Apartment Cordoba,"3 beds,  · 2 bedrooms",Nov 12 – 17,$146,New
